,Accuracy,AUC Score,CV Mean Accuracy,CV Std Accuracy,Training Time (Best Params),Inference Time (Best Params),Computation Time (Total),Best Parameters
DCN,0.8010471204188482,0.8627472527472526,0.7628310973512212,0.040745250634234204,4.001298666000366,0.000997781753540039,66.71360087394714,"{'cross_layers': 2, 'hidden_layer_0': 155, 'hidden_layer_1': 34, 'hidden_layer_2': 115, 'learning_rate': 0.001878908753574187, 'batch_size': 64, 'num_epochs': 53}"
Wide_and_Deep,0.774869109947644,0.8503296703296703,0.7457430340557275,0.010388845034144768,5.7715675830841064,0.001993894577026367,81.01136922836304,"{'hidden_layer_0': 243, 'hidden_layer_1': 177, 'hidden_layer_2': 162, 'learning_rate': 0.004296270362926377, 'batch_size': 64, 'num_epochs': 64}"
XGBoost + NN,0.7958115183246073,0.8668131868131868,0.7497592019263847,0.036624739351012875,2.5392098426818848,0.0,48.5022976398468,"{'n_estimators': 206, 'max_depth': 6, 'xgb_learning_rate': 0.024842463120664973, 'subsample': 0.533839452187708, 'colsample_bytree': 0.5689555785859645, 'use_hidden_layer_0': True, 'hidden_layer_0': 132, 'use_hidden_layer_1': False, 'use_hidden_layer_2': True, 'hidden_layer_2': 95, 'nn_learning_rate': 0.0001977686398524796, 'batch_size': 128, 'num_epochs': 65}"
LightGBM + NN,0.806282722513089,0.8834615384615385,0.7522875816993464,0.020894884567109723,12.814732074737549,0.0009970664978027344,109.22691655158997,"{'n_estimators': 224, 'max_depth': 7, 'lgb_learning_rate': 0.03947369147719682, 'num_leaves': 95, 'subsample': 0.6106397724927721, 'colsample_bytree': 0.8502604783595085, 'hidden_layer_0': 216, 'hidden_layer_1': 195, 'hidden_layer_2': 213, 'nn_learning_rate': 0.056546563916001845, 'batch_size': 32, 'num_epochs': 80}"
AutoInt + NN,0.8010471204188482,0.8659340659340659,0.7641124871001033,0.013351580834987992,4.391256332397461,0.0009975433349609375,76.49943494796753,"{'num_heads': 6, 'embedding_dim': 54, 'num_layers': 2, 'hidden_layer_0': 147, 'hidden_layer_1': 175, 'hidden_layer_2': 144, 'nn_learning_rate': 0.003116901930432451, 'batch_size': 128, 'num_epochs': 90}"
FT-Transformer,0.7643979057591623,0.8464835164835165,0.75359477124183,0.028689022464126697,1.2945406436920166,0.0009949207305908203,95.86465001106262,"{'num_heads': 4, 'embedding_dim': 64, 'num_layers': 1, 'hidden_layer_0': 204, 'hidden_layer_1': 199, 'hidden_layer_2': 233, 'nn_learning_rate': 0.0014858768500777045, 'batch_size': 256, 'num_epochs': 33}"
Neural Architecture Search,0.7905759162303665,0.86,0.7392414860681116,0.03100246451709262,2.891268253326416,0.001996278762817383,82.10943245887756,"{'num_layers': 4, 'hidden_layer_0': 124, 'hidden_layer_1': 42, 'hidden_layer_2': 80, 'hidden_layer_3': 215, 'learning_rate': 0.003142271251764436, 'batch_size': 128, 'num_epochs': 60}"
KAN,0.7329842931937173,0.8452747252747254,0.7614637082903337,0.02141730982434726,0.33909177780151367,0.0,10.1139554977417,"{'hidden_dim': 84, 'learning_rate': 0.020079229009666275, 'batch_size': 128, 'num_epochs': 18}"
NODE,0.7225130890052356,0.8117582417582417,0.7536291709666323,0.016006840120420765,9.835699319839478,0.008975744247436523,100.1292450428009,"{'num_layers': 4, 'num_trees': 6, 'tree_dim': 55, 'learning_rate': 0.00614664810810492, 'batch_size': 32, 'num_epochs': 24}"
TabNet,0.7853403141361257,0.8394505494505495,0.7313209494324046,0.024160903297159024,22.194647550582886,0.09075379371643066,338.56664538383484,"{'n_d': 51, 'n_a': 23, 'n_steps': 7, 'gamma': 1.3214105112120915, 'lambda_sparse': 2.9136189724096703e-05, 'learning_rate': 0.0011702723176583029, 'batch_size': 256, 'num_epochs': 67}"
SAINT,0.7905759162303665,0.8509890109890109,0.750954592363261,0.02551111863332466,7.256600379943848,0.003983497619628906,336.94996428489685,"{'heads': 5, 'dim': 20, 'depth': 1, 'mlp_dim': 178, 'dropout': 0.40980899651533026, 'learning_rate': 0.0047560859806519955, 'batch_size': 256, 'num_epochs': 66}"
