Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Y
34.0,74,2.0,24.0,partly cloudy,1005.49,2,Winter,5.5,coastal,Cloudy
15.0,88,10.0,74.0,overcast,1013.37,3,Summer,4.5,mountain,Rainy
10.0,90,6.0,54.0,overcast,994.68,0,Summer,3.0,inland,Rainy
26.0,97,16.0,96.0,partly cloudy,1008.87,0,Autumn,3.0,inland,Rainy
-9.0,66,18.5,62.0,overcast,985.51,1,Winter,3.5,mountain,Snowy
-7.0,85,18.5,68.0,overcast,993.72,1,Winter,2.5,mountain,Snowy
-9.0,76,16.5,88.0,partly cloudy,999.64,1,Winter,3.5,inland,Snowy
1.0,65,3.0,96.0,overcast,982.07,0,Winter,1.5,mountain,Snowy
12.0,79,7.0,33.0,overcast,1013.0,4,Autumn,8.0,inland,Cloudy
21.0,61,6.5,10.0,clear,1016.28,8,Autumn,6.0,mountain,Sunny
22.0,72,11.0,18.0,overcast,1015.53,3,Winter,8.5,coastal,Cloudy
31.0,63,2.0,21.0,partly cloudy,1000.26,2,Spring,7.5,inland,Cloudy
23.0,71,2.5,18.0,partly cloudy,1007.64,2,Winter,6.5,inland,Cloudy
27.0,45,8.0,9.0,partly cloudy,1021.3,5,Spring,7.0,inland,Sunny
11.0,88,22.5,77.0,clear,1028.97,11,Summer,7.0,mountain,Sunny
23.0,73,14.5,32.0,partly cloudy,1002.91,4,Autumn,7.5,mountain,Cloudy
28.0,54,9.5,1.0,clear,1024.68,8,Winter,9.0,mountain,Sunny
24.0,65,3.0,6.0,clear,1021.21,8,Autumn,8.0,coastal,Sunny
19.0,67,0.0,47.0,partly cloudy,1012.54,2,Summer,6.0,inland,Cloudy
21.0,26,5.5,75.0,cloudy,1010.06,2,Spring,6.0,coastal,Cloudy
32.0,87,8.0,69.0,partly cloudy,1015.68,3,Summer,4.5,coastal,Rainy
38.0,56,1.0,13.0,clear,1017.0,9,Autumn,7.0,coastal,Sunny
-8.0,39,5.5,55.0,partly cloudy,1073.46,6,Winter,17.0,coastal,Snowy
12.0,51,12.5,10.0,overcast,1016.55,1,Winter,8.5,coastal,Cloudy
12.0,69,8.0,34.0,partly cloudy,1010.99,4,Autumn,7.0,inland,Cloudy
31.0,65,5.5,61.0,overcast,990.46,0,Winter,3.5,coastal,Rainy
21.0,97,12.0,94.0,overcast,1014.88,1,Winter,4.5,inland,Rainy
33.0,55,2.0,31.0,partly cloudy,1010.26,3,Summer,6.5,mountain,Cloudy
29.0,92,15.0,79.0,overcast,992.23,2,Autumn,3.0,inland,Rainy
36.0,47,7.5,24.0,partly cloudy,1016.26,4,Autumn,3.5,mountain,Snowy
-7.0,88,9.5,87.0,overcast,995.22,0,Winter,4.5,mountain,Snowy
20.0,55,8.0,33.0,overcast,1015.61,1,Autumn,7.0,coastal,Cloudy
73.0,108,16.5,102.0,partly cloudy,1002.52,4,Winter,2.5,inland,Cloudy
26.0,73,14.0,43.0,partly cloudy,1014.64,2,Spring,7.5,mountain,Cloudy
28.0,73,10.0,76.0,partly cloudy,1007.91,3,Summer,3.5,inland,Rainy
18.0,87,8.0,60.0,overcast,1018.75,0,Spring,4.5,coastal,Rainy
44.0,32,5.0,12.0,clear,1022.52,11,Summer,9.5,coastal,Sunny
-4.0,69,14.5,52.0,partly cloudy,982.79,0,Winter,4.5,mountain,Snowy
2.0,78,13.0,35.0,overcast,811.67,0,Autumn,8.5,inland,Rainy
27.0,73,8.5,25.0,partly cloudy,1007.85,2,Autumn,7.5,coastal,Cloudy
1.0,77,18.0,92.0,overcast,988.56,1,Winter,3.0,mountain,Snowy
4.0,95,12.5,73.0,overcast,983.52,0,Winter,1.0,inland,Snowy
15.0,65,2.5,44.0,overcast,1008.18,3,Summer,8.0,inland,Cloudy
9.0,108,8.5,107.0,partly cloudy,1013.44,9,Summer,2.0,coastal,Cloudy
28.0,60,14.5,63.0,partly cloudy,1002.62,1,Winter,3.5,coastal,Rainy
12.0,98,19.5,61.0,partly cloudy,1004.98,1,Winter,3.5,mountain,Rainy
29.0,79,19.5,93.0,partly cloudy,1000.65,3,Autumn,5.0,coastal,Rainy
29.0,108,26.0,94.0,partly cloudy,1013.48,11,Winter,4.5,inland,Cloudy
12.0,50,3.5,32.0,partly cloudy,1007.37,2,Winter,7.0,inland,Cloudy
30.0,73,2.5,23.0,overcast,1015.82,1,Spring,7.0,mountain,Cloudy
-6.0,75,13.5,54.0,overcast,991.67,0,Winter,2.0,inland,Snowy
3.0,84,7.5,77.0,overcast,994.65,0,Winter,4.0,inland,Snowy
1.0,92,19.0,60.0,overcast,999.31,0,Winter,4.0,inland,Snowy
0.0,67,8.5,54.0,overcast,989.27,1,Winter,5.0,mountain,Snowy
14.0,64,5.0,47.0,overcast,1017.75,3,Summer,6.0,mountain,Cloudy
41.0,39,0.5,14.0,clear,1021.44,8,Summer,8.0,mountain,Sunny
22.0,91,12.0,95.0,clear,1020.24,5,Autumn,11.5,mountain,Sunny
-4.0,72,16.5,91.0,partly cloudy,989.39,1,Winter,2.5,mountain,Snowy
27.0,91,13.5,75.0,overcast,998.73,1,Spring,2.5,coastal,Rainy
24.0,62,18.5,92.0,overcast,1014.22,2,Summer,5.0,inland,Rainy
24.0,71,16.0,72.0,partly cloudy,1005.1,2,Autumn,4.5,coastal,Rainy
-1.0,64,11.0,95.0,overcast,987.04,1,Winter,2.0,inland,Snowy
32.0,72,13.0,13.0,partly cloudy,1001.27,2,Autumn,9.0,coastal,Cloudy
30.0,77,12.0,51.0,partly cloudy,1007.88,0,Spring,3.5,inland,Rainy
22.0,57,7.5,14.0,partly cloudy,1019.88,4,Winter,7.5,inland,Cloudy
29.0,86,5.5,94.0,partly cloudy,1012.01,4,Summer,3.5,mountain,Cloudy
-2.0,69,10.0,64.0,overcast,983.29,0,Winter,4.5,mountain,Snowy
13.0,71,1.5,43.0,partly cloudy,1006.75,2,Summer,8.0,mountain,Cloudy
25.0,50,15.0,16.0,partly cloudy,1011.14,1,Spring,5.5,mountain,Cloudy
4.0,85,2.5,72.0,overcast,997.1,1,Winter,3.0,inland,Snowy
34.0,74,2.0,20.0,partly cloudy,1007.72,4,Winter,8.5,inland,Cloudy
27.0,95,12.5,76.0,overcast,1011.9,3,Summer,5.0,coastal,Rainy
22.0,32,5.0,6.0,partly cloudy,1014.7,7,Spring,6.0,coastal,Sunny
32.0,61,13.5,10.0,partly cloudy,1005.59,3,Spring,7.0,coastal,Cloudy
13.0,64,2.0,26.0,overcast,1012.83,3,Winter,7.0,mountain,Cloudy
48.0,93,5.5,75.0,clear,1017.07,8,Winter,6.5,mountain,Sunny
77.0,97,20.5,106.0,clear,1027.63,14,Summer,3.5,coastal,Sunny
21.0,60,17.5,84.0,overcast,1018.89,0,Summer,3.0,inland,Rainy
20.0,93,5.0,109.0,overcast,1000.64,6,Summer,8.5,coastal,Cloudy
0.0,64,8.5,75.0,overcast,988.73,0,Winter,2.0,mountain,Snowy
-6.0,80,1.5,74.0,overcast,999.42,13,Winter,4.5,inland,Snowy
20.0,56,0.5,38.0,partly cloudy,1007.18,1,Autumn,7.0,coastal,Cloudy
41.0,69,6.5,6.0,clear,1027.42,11,Winter,8.0,coastal,Sunny
-2.0,93,33.5,82.0,overcast,987.32,8,Winter,2.5,mountain,Snowy
35.0,27,6.5,13.0,partly cloudy,1019.12,6,Spring,7.5,mountain,Sunny
25.0,59,4.0,48.0,partly cloudy,1018.44,3,Winter,7.0,mountain,Cloudy
27.0,51,4.0,33.0,partly cloudy,1004.52,2,Spring,7.5,inland,Cloudy
31.0,63,7.0,14.0,clear,1016.74,7,Winter,6.5,inland,Sunny
34.0,60,7.5,18.0,partly cloudy,1025.96,11,Summer,7.5,mountain,Sunny
29.0,84,18.0,69.0,overcast,993.35,3,Summer,4.5,inland,Rainy
34.0,56,10.5,14.0,partly cloudy,1019.51,4,Winter,9.0,coastal,Cloudy
28.0,65,1.5,20.0,partly cloudy,1007.0,4,Spring,8.5,mountain,Cloudy
24.0,52,9.0,29.0,partly cloudy,1007.84,1,Autumn,8.0,mountain,Cloudy
12.0,72,5.5,87.0,partly cloudy,1023.61,8,Autumn,14.0,mountain,Sunny
25.0,62,15.0,27.0,partly cloudy,1017.1,2,Winter,8.5,mountain,Cloudy
31.0,68,9.0,41.0,partly cloudy,1016.6,2,Spring,7.0,inland,Cloudy
4.0,94,11.5,60.0,overcast,993.01,1,Winter,4.0,inland,Snowy
28.0,66,13.5,15.0,overcast,1005.87,3,Autumn,8.0,coastal,Cloudy
14.0,80,8.5,84.0,clear,1026.21,5,Winter,10.5,coastal,Sunny
29.0,59,3.5,5.0,clear,1015.07,10,Winter,6.5,inland,Sunny
27.0,40,5.0,15.0,clear,1026.05,9,Summer,7.0,mountain,Sunny
46.0,100,13.0,96.0,partly cloudy,1025.07,0,Summer,5.0,inland,Sunny
23.0,25,10.0,15.0,clear,1016.92,7,Spring,8.5,mountain,Sunny
61.0,85,8.5,108.0,partly cloudy,1009.51,6,Spring,2.0,inland,Cloudy
34.0,62,13.5,28.0,partly cloudy,1007.36,2,Winter,6.5,inland,Cloudy
22.0,97,9.0,83.0,overcast,998.07,3,Winter,3.0,coastal,Rainy
27.0,87,18.5,63.0,overcast,992.66,2,Summer,1.0,inland,Rainy
-10.0,74,10.5,59.0,overcast,985.83,0,Winter,3.5,inland,Snowy
29.0,63,7.0,88.0,overcast,1000.99,0,Summer,2.5,coastal,Rainy
18.0,80,8.5,64.0,overcast,992.99,0,Winter,1.5,coastal,Rainy
-2.0,90,8.5,59.0,overcast,999.51,1,Winter,4.0,inland,Snowy
11.0,61,20.0,94.0,overcast,1006.34,3,Winter,1.5,inland,Rainy
-1.0,93,0.5,96.0,overcast,986.38,6,Winter,1.5,inland,Snowy
12.0,78,6.5,59.0,partly cloudy,1016.88,3,Winter,1.5,mountain,Rainy
34.0,56,13.0,49.0,overcast,1018.33,3,Spring,6.0,inland,Cloudy
19.0,84,7.0,78.0,overcast,1018.65,0,Summer,1.0,inland,Rainy
3.0,68,7.5,59.0,overcast,980.85,0,Winter,3.5,inland,Snowy
24.0,84,12.5,76.0,partly cloudy,995.09,0,Autumn,1.5,mountain,Rainy
7.0,95,20.0,90.0,partly cloudy,1019.37,4,Spring,4.0,mountain,Cloudy
37.0,45,9.5,18.0,partly cloudy,1018.93,8,Autumn,7.5,mountain,Sunny
32.0,63,8.0,68.0,partly cloudy,998.48,0,Winter,3.5,coastal,Rainy
37.0,45,9.5,13.0,clear,1025.5,10,Winter,5.5,coastal,Sunny
-10.0,75,2.0,57.0,partly cloudy,993.13,1,Winter,5.0,mountain,Snowy
-10.0,70,17.0,67.0,overcast,993.83,1,Winter,2.5,inland,Snowy
31.0,76,10.0,55.0,overcast,1004.39,2,Autumn,5.0,coastal,Rainy
22.0,47,8.5,13.0,clear,1022.02,10,Summer,5.5,coastal,Sunny
34.0,84,16.5,95.0,overcast,992.34,0,Spring,2.0,coastal,Rainy
15.0,85,28.0,92.0,partly cloudy,1003.57,9,Summer,0.5,coastal,Cloudy
13.0,59,5.0,24.0,overcast,1007.69,1,Summer,7.5,inland,Cloudy
18.0,75,11.0,20.0,partly cloudy,1003.14,4,Autumn,7.5,inland,Cloudy
44.0,28,6.0,16.0,partly cloudy,1013.76,10,Spring,9.0,inland,Sunny
34.0,64,8.5,19.0,partly cloudy,1010.68,2,Summer,7.0,inland,Cloudy
0.0,103,10.0,94.0,overcast,983.3,10,Winter,1.5,mountain,Snowy
25.0,79,11.5,42.0,overcast,1015.61,2,Winter,6.5,mountain,Cloudy
28.0,84,15.0,85.0,partly cloudy,1010.67,1,Spring,5.0,mountain,Rainy
49.0,64,4.0,61.0,cloudy,1130.72,14,Winter,0.0,coastal,Cloudy
13.0,108,10.0,103.0,partly cloudy,1002.59,14,Winter,5.0,mountain,Cloudy
48.0,106,14.0,105.0,overcast,990.05,8,Winter,1.5,inland,Rainy
23.0,54,12.0,14.0,partly cloudy,1005.89,3,Summer,6.5,inland,Cloudy
14.0,62,18.0,59.0,partly cloudy,1016.09,1,Autumn,3.0,mountain,Rainy
-10.0,76,4.5,99.0,overcast,982.04,1,Winter,2.0,mountain,Snowy
30.0,71,8.0,40.0,overcast,1018.31,3,Autumn,6.0,mountain,Cloudy
10.0,73,10.5,49.0,overcast,1010.36,1,Winter,5.5,inland,Cloudy
20.0,67,11.5,29.0,partly cloudy,1012.24,2,Winter,6.5,inland,Cloudy
36.0,59,3.5,66.0,overcast,1194.14,4,Spring,5.5,mountain,Cloudy
18.0,77,6.0,53.0,overcast,995.27,2,Winter,3.0,inland,Rainy
36.0,64,8.0,97.0,cloudy,1003.7,5,Spring,16.5,coastal,Snowy
3.0,73,5.5,54.0,overcast,987.43,0,Winter,2.0,mountain,Snowy
19.0,59,10.5,46.0,partly cloudy,1014.93,1,Spring,7.5,mountain,Cloudy
72.0,77,18.5,105.0,clear,1029.1,2,Winter,10.5,mountain,Sunny
10.0,74,2.0,27.0,overcast,1008.1,3,Autumn,8.0,coastal,Cloudy
18.0,56,11.0,46.0,partly cloudy,1012.72,2,Summer,6.5,mountain,Cloudy
31.0,74,14.5,59.0,overcast,1015.54,2,Autumn,5.0,mountain,Rainy
25.0,57,4.5,24.0,partly cloudy,1006.4,4,Winter,8.5,coastal,Cloudy
-9.0,76,15.5,59.0,overcast,980.94,1,Winter,4.0,inland,Snowy
34.0,63,4.0,47.0,overcast,1015.18,3,Spring,5.0,inland,Cloudy
28.0,70,10.0,76.0,overcast,1011.27,1,Summer,2.5,inland,Rainy
-6.0,97,20.0,63.0,overcast,999.09,1,Winter,1.5,inland,Snowy
-1.0,85,14.0,53.0,overcast,997.97,0,Winter,2.0,mountain,Snowy
36.0,87,13.5,84.0,partly cloudy,1021.32,0,Winter,4.5,coastal,Sunny
20.0,60,7.5,13.0,overcast,1006.84,1,Winter,5.0,inland,Cloudy
27.0,74,0.0,41.0,partly cloudy,1007.89,1,Summer,6.0,coastal,Cloudy
33.0,46,6.0,6.0,partly cloudy,1023.19,10,Spring,9.5,inland,Sunny
28.0,97,9.0,76.0,overcast,996.75,2,Winter,5.0,coastal,Rainy
10.0,72,11.5,11.0,cloudy,1112.53,14,Winter,5.5,coastal,Snowy
40.0,67,2.0,5.0,partly cloudy,1028.32,9,Autumn,9.5,coastal,Sunny
-3.0,70,18.0,50.0,overcast,992.9,1,Winter,4.5,inland,Snowy
16.0,71,3.0,43.0,overcast,920.13,10,Summer,15.0,inland,Cloudy
-1.0,91,19.0,54.0,overcast,985.48,0,Winter,3.0,inland,Snowy
27.0,73,8.5,25.0,partly cloudy,1007.85,2,Autumn,7.5,coastal,Cloudy
29.0,86,5.5,94.0,partly cloudy,1012.01,4,Summer,3.5,mountain,Cloudy
52.0,71,9.5,81.0,partly cloudy,1008.58,3,Winter,3.0,mountain,Cloudy
16.0,70,15.0,59.0,overcast,996.48,0,Spring,4.0,coastal,Rainy
1.0,92,3.0,93.0,partly cloudy,982.11,0,Winter,3.0,inland,Snowy
27.0,95,14.0,77.0,partly cloudy,1019.13,7,Spring,9.0,inland,Cloudy
30.0,98,5.0,66.0,overcast,1012.74,2,Spring,3.0,coastal,Rainy
-6.0,87,9.0,64.0,overcast,997.77,0,Winter,3.0,mountain,Snowy
-7.0,86,22.0,88.0,overcast,985.6,6,Winter,1.0,inland,Snowy
28.0,79,18.5,92.0,overcast,990.58,2,Autumn,1.5,inland,Rainy
-3.0,68,1.0,50.0,overcast,993.39,1,Winter,4.0,inland,Snowy
12.0,55,13.5,11.0,partly cloudy,1014.38,1,Winter,7.5,mountain,Cloudy
19.0,88,13.0,79.0,overcast,995.25,1,Spring,4.0,coastal,Rainy
3.0,96,2.5,81.0,overcast,994.68,1,Winter,4.0,mountain,Snowy
10.0,104,18.0,74.0,partly cloudy,1013.41,13,Summer,2.5,inland,Cloudy
13.0,80,1.0,102.0,partly cloudy,1018.53,4,Autumn,5.5,mountain,Cloudy
25.0,68,6.0,74.0,overcast,1011.74,1,Autumn,4.0,coastal,Rainy
10.0,80,15.5,53.0,overcast,1003.85,2,Summer,3.5,inland,Rainy
1.0,77,5.0,55.0,overcast,993.03,0,Winter,3.0,inland,Snowy
34.0,21,5.5,12.0,clear,1028.81,5,Summer,8.0,coastal,Sunny
8.0,77,8.5,94.0,overcast,890.5,1,Spring,12.5,coastal,Snowy
-9.0,89,17.0,94.0,overcast,997.31,0,Winter,4.5,inland,Snowy
16.0,63,17.5,98.0,partly cloudy,1001.23,0,Summer,2.0,coastal,Rainy
16.0,55,9.0,32.0,overcast,1004.62,2,Autumn,6.5,mountain,Cloudy
12.0,24,10.0,12.0,cloudy,1025.6,14,Winter,5.0,mountain,Snowy
31.0,45,2.0,1.0,clear,1025.05,5,Winter,8.0,coastal,Sunny
28.0,76,11.0,30.0,partly cloudy,1003.14,1,Autumn,8.0,coastal,Cloudy
1.0,94,14.5,95.0,overcast,983.6,1,Winter,2.0,inland,Snowy
-1.0,79,13.0,63.0,overcast,980.8,1,Winter,3.0,mountain,Snowy
21.0,76,11.5,30.0,partly cloudy,1003.34,3,Winter,6.0,inland,Cloudy
41.0,28,5.0,17.0,partly cloudy,1026.26,9,Autumn,9.0,mountain,Sunny
10.0,87,20.0,66.0,overcast,994.22,3,Summer,2.5,inland,Rainy
19.0,78,10.5,16.0,partly cloudy,1018.01,3,Winter,5.0,inland,Cloudy
27.0,72,1.0,29.0,overcast,1003.38,1,Spring,6.0,coastal,Cloudy
33.0,79,17.0,55.0,overcast,1014.11,1,Spring,2.5,coastal,Rainy
2.0,92,6.0,63.0,overcast,997.7,1,Winter,3.5,inland,Snowy
22.0,38,10.0,0.0,clear,1027.37,9,Winter,9.0,inland,Sunny
43.0,29,3.5,17.0,clear,1029.17,5,Spring,5.0,inland,Sunny
18.0,73,17.0,97.0,overcast,1013.07,2,Winter,3.0,coastal,Rainy
31.0,109,18.5,82.0,partly cloudy,1014.3,1,Winter,1.5,coastal,Cloudy
18.0,71,12.5,66.0,partly cloudy,1015.11,0,Spring,4.0,inland,Rainy
4.0,66,3.5,95.0,overcast,994.68,0,Winter,4.5,mountain,Snowy
21.0,100,17.0,78.0,overcast,1010.97,2,Winter,1.0,coastal,Rainy
26.0,58,10.0,14.0,overcast,1002.21,1,Winter,6.0,coastal,Cloudy
29.0,97,15.5,52.0,overcast,999.8,0,Winter,1.0,inland,Rainy
3.0,89,7.0,82.0,overcast,998.9,1,Winter,3.0,mountain,Snowy
3.0,81,8.0,88.0,partly cloudy,994.38,1,Winter,4.0,mountain,Snowy
39.0,65,0.5,7.0,partly cloudy,1012.53,7,Spring,9.5,coastal,Sunny
-8.0,96,6.5,52.0,overcast,993.28,1,Winter,3.0,inland,Snowy
24.0,41,3.0,11.0,clear,1020.28,7,Autumn,7.0,coastal,Sunny
16.0,53,2.0,47.0,partly cloudy,1006.09,3,Winter,7.5,inland,Cloudy
27.0,28,10.0,98.0,overcast,896.93,2,Spring,11.0,inland,Snowy
28.0,79,18.5,92.0,overcast,990.58,2,Autumn,1.5,inland,Rainy
29.0,21,3.5,5.0,clear,1014.9,11,Spring,8.0,mountain,Sunny
29.0,43,1.0,12.0,clear,1014.4,7,Autumn,7.0,mountain,Sunny
34.0,50,11.5,16.0,partly cloudy,1015.68,4,Spring,7.0,inland,Cloudy
36.0,35,4.5,6.0,clear,1014.81,9,Winter,7.0,inland,Sunny
33.0,55,10.5,42.0,overcast,1017.01,4,Autumn,7.0,inland,Cloudy
36.0,39,7.5,36.0,cloudy,967.55,10,Spring,8.5,mountain,Cloudy
17.0,82,10.0,84.0,partly cloudy,1019.58,3,Autumn,5.0,mountain,Rainy
38.0,23,9.5,2.0,partly cloudy,1025.88,6,Winter,6.0,coastal,Sunny
12.0,76,9.0,18.0,overcast,1018.4,3,Autumn,7.5,mountain,Cloudy
1.0,94,2.5,80.0,overcast,991.0,4,Winter,1.0,mountain,Snowy
12.0,99,18.0,65.0,overcast,1010.8,1,Winter,1.5,inland,Rainy
41.0,57,4.0,19.0,clear,1025.59,10,Spring,6.5,coastal,Sunny
-8.0,84,7.5,66.0,partly cloudy,980.09,1,Winter,3.0,mountain,Snowy
26.0,95,5.0,96.0,overcast,1003.36,3,Spring,1.0,inland,Rainy
18.0,98,17.5,95.0,partly cloudy,1016.79,1,Spring,4.5,mountain,Rainy
39.0,45,6.0,5.0,clear,1013.51,8,Autumn,8.0,coastal,Sunny
12.0,72,20.0,101.0,partly cloudy,1008.99,8,Winter,12.5,coastal,Cloudy
-6.0,82,14.0,82.0,overcast,991.66,1,Winter,3.5,inland,Snowy
30.0,74,12.5,48.0,partly cloudy,1003.07,2,Summer,8.5,mountain,Cloudy
26.0,79,6.5,75.0,partly cloudy,1012.03,5,Summer,5.0,inland,Cloudy
28.0,52,3.0,21.0,partly cloudy,1009.29,3,Winter,5.5,mountain,Cloudy
20.0,42,4.0,13.0,partly cloudy,1028.3,5,Autumn,8.0,mountain,Sunny
20.0,71,9.0,38.0,overcast,1010.66,2,Spring,6.0,inland,Cloudy
18.0,95,6.5,70.0,overcast,1001.9,3,Autumn,4.0,coastal,Rainy
24.0,64,11.0,98.0,overcast,992.78,1,Summer,5.0,inland,Rainy
27.0,56,2.5,14.0,overcast,1012.89,2,Autumn,9.0,mountain,Cloudy
34.0,59,5.0,5.0,clear,1010.49,11,Spring,6.0,coastal,Sunny
34.0,98,15.5,57.0,overcast,1015.51,3,Winter,3.5,coastal,Rainy
63.0,96,8.0,79.0,clear,1014.43,9,Summer,12.0,coastal,Sunny
14.0,67,14.5,91.0,overcast,995.76,3,Summer,1.0,inland,Rainy
-3.0,61,5.0,69.0,overcast,981.12,1,Winter,1.5,mountain,Snowy
41.0,46,9.5,5.0,partly cloudy,1026.51,11,Summer,9.0,coastal,Sunny
21.0,69,9.0,18.0,partly cloudy,1013.76,3,Spring,5.5,mountain,Cloudy
10.0,77,11.5,79.0,partly cloudy,1002.35,3,Autumn,2.5,coastal,Rainy
-4.0,96,15.5,82.0,partly cloudy,980.68,1,Winter,4.5,mountain,Snowy
-4.0,86,28.0,94.0,overcast,993.3,10,Winter,4.5,inland,Snowy
-8.0,87,16.5,73.0,overcast,997.9,1,Winter,5.0,inland,Snowy
63.0,89,28.0,99.0,partly cloudy,1007.06,2,Spring,1.0,mountain,Rainy
-7.0,85,16.5,86.0,overcast,986.51,0,Winter,4.0,inland,Snowy
27.0,98,15.0,95.0,overcast,995.36,0,Spring,4.0,inland,Rainy
26.0,30,1.0,54.0,overcast,1081.77,4,Spring,4.5,inland,Rainy
23.0,56,3.5,24.0,overcast,1000.82,2,Autumn,9.0,inland,Cloudy
34.0,76,2.5,41.0,overcast,1001.27,3,Winter,8.0,mountain,Cloudy
-1.0,76,2.0,84.0,overcast,997.02,1,Winter,1.0,mountain,Snowy
16.0,66,13.0,78.0,overcast,1018.8,1,Winter,4.0,coastal,Rainy
2.0,78,11.0,65.0,overcast,998.54,0,Winter,4.5,mountain,Snowy
-8.0,88,11.5,52.0,overcast,984.01,1,Winter,2.0,inland,Snowy
-1.0,88,17.5,99.0,overcast,984.4,0,Winter,3.0,mountain,Snowy
22.0,64,16.0,89.0,partly cloudy,1006.88,2,Spring,2.5,mountain,Rainy
3.0,80,5.5,95.0,overcast,994.15,0,Winter,3.0,inland,Snowy
-9.0,61,1.5,86.0,overcast,1006.14,14,Autumn,17.0,inland,Rainy
19.0,92,17.0,99.0,overcast,1002.58,1,Autumn,1.0,coastal,Rainy
70.0,70,16.5,83.0,partly cloudy,1006.92,12,Winter,2.5,coastal,Cloudy
26.0,46,3.0,5.0,clear,1027.59,7,Autumn,7.5,coastal,Sunny
-13.0,65,10.5,62.0,cloudy,873.6,13,Autumn,10.5,coastal,Snowy
36.0,63,5.5,17.0,clear,1013.88,9,Summer,8.5,inland,Sunny
34.0,38,5.0,12.0,clear,1019.28,5,Spring,7.0,coastal,Sunny
3.0,62,18.5,90.0,overcast,996.67,0,Winter,2.5,mountain,Snowy
30.0,71,31.0,96.0,overcast,1018.84,7,Summer,2.0,mountain,Rainy
44.0,94,9.0,109.0,clear,1024.46,2,Spring,6.5,coastal,Sunny
27.0,56,2.5,14.0,overcast,1012.89,2,Autumn,9.0,mountain,Cloudy
40.0,75,31.5,80.0,overcast,1012.76,0,Spring,1.0,mountain,Rainy
-4.0,66,20.0,70.0,partly cloudy,981.78,1,Winter,4.5,mountain,Snowy
-4.0,82,32.0,76.0,overcast,986.93,10,Winter,4.5,inland,Snowy
44.0,45,7.0,28.0,partly cloudy,894.65,5,Spring,11.5,inland,Sunny
31.0,30,9.0,0.0,partly cloudy,1014.06,8,Autumn,9.5,coastal,Sunny
13.0,95,5.5,62.0,partly cloudy,1000.32,0,Winter,3.5,coastal,Rainy
21.0,72,24.5,82.0,clear,1023.16,0,Summer,4.5,mountain,Sunny
52.0,80,17.0,71.0,clear,1022.7,13,Autumn,6.5,coastal,Sunny
32.0,63,2.0,12.0,clear,1021.42,9,Winter,7.0,mountain,Sunny
21.0,59,8.0,19.0,clear,1022.45,6,Autumn,9.5,coastal,Sunny
47.0,82,25.5,96.0,overcast,1006.85,5,Summer,1.0,coastal,Rainy
-5.0,63,9.5,70.0,overcast,993.03,1,Winter,1.5,mountain,Snowy
8.0,27,5.0,66.0,overcast,1035.43,9,Summer,10.0,inland,Cloudy
28.0,20,8.5,19.0,clear,1029.12,8,Winter,5.5,coastal,Sunny
20.0,90,14.5,66.0,partly cloudy,994.38,2,Summer,2.5,inland,Rainy
26.0,69,4.5,44.0,overcast,1013.71,3,Spring,8.0,inland,Cloudy
31.0,78,8.0,37.0,overcast,1006.95,3,Spring,9.0,mountain,Cloudy
